comment_text,comment_speed,comment_service,comment_taste,comment_time
Teşekkürler.,8.0,8.0,8.0,1606433073
İyi.,8.0,8.0,8.0,1606260273
"Malesef börekler çok soğuk geldi, hiç böyle olmamıştı.",8.0,5.0,3.0,1606260273
Su böreği aşırı derece de yağlıydı midemi bulandırdı :(.,7.0,7.0,6.0,1606173873
"Cok guzeller cok, bir de her seferinde taze borek gelsen efsane olurlar.",10.0,10.0,10.0,1606001073
Sıcak ve çabuk geldi tadı normal mükemmel diyemeyeceğim domates eklenmesini de isterdim.,9.0,8.0,7.0,1606001073
Siparişim eksik geldi aramama rağmen getirilmedi.,1.0,1.0,1.0,1605828273
Çok geç geldi... Lezzet super ama gecikti...,1.0,10.0,10.0,1605828273
Börek 14 tl minumum tutar 15 tl insanlara zorla bişeyler daha ekletmek istiyorsunuz.,8.0,8.0,8.0,1605741873
İyi.,8.0,8.0,8.0,1605569073
Buz gibi lastik gibi olmustu hic yakışmadı bizim borekcilik sureklj sizden aliorjm ve kaçtır böyle geliyor.,2.0,6.0,1.0,1605569073
Kalite sizsiniz.,9.0,9.0,10.0,1605482673
Börek gayet lezzetli ama yanında domates servisi olsa güzel olurdu.,10.0,8.0,10.0,1605482673
Çok temiz ve hızlı teşekkürler.,10.0,10.0,10.0,1605482673
İyi.,8.0,8.0,8.0,1605396273
Soğuk ve lezzet konusunda orta seviye.,9.0,7.0,5.0,1605396273
Peynirli böreği on numara.,10.0,10.0,10.0,1605223473
"Bizim börekçiliğin su böreği gerçekten efsane. Tek bir durum var, çoğu günlerde çok güzel olmasına rağmen, bazen gerçekten itici olabiliyor. Sanırım usta farkı var. Sık sık deniyorum, hangi günlerde güzel olduğu, hangi günlerde başka ustanın elinden çıktığını tespit edeceğim.",10.0,10.0,10.0,1605137073
Tam 82 dakikada geldi böyle bir rezalet olmaz olamaz! Börek buz gibiydi tabi soğuması normal yazık cidden.,1.0,8.0,1.0,1605050673
Sipariş verdim 5 dk sonra kapı çaldı. Süpersiniz. Lezzet kalite 10 numara...,10.0,10.0,10.0,1604964273
Kahvaltımı yaptıktan 1 saat sonra börek geldi ve böreği almadım.,1.0,1.0,1.0,1604791473
"70dk 1km, su boregınin peyniri kalmamış, uyuyan var diyorum zile basıyorsun.",1.0,6.0,5.0,1604445873
Hız servis lezzet müthiş.,10.0,10.0,10.0,1604186673
Su böreği cok güzelmiş gerckten.,10.0,10.0,10.0,1603927473
Su böreği çok güzledi sıcacık beğendim.,10.0,5.0,8.0,1603927473
Cok kuruydu kiymali borek sogan yiyorduk resmen ve cok gec geldi.,6.0,8.0,7.0,1603803327
Borek icinde ki malzeme nedense eksiydi ve o yuzden yemedik.,1.0,5.0,1.0,1603803327
İyi.,10.0,10.0,10.0,1603803327
Güzeldi.,7.0,7.0,7.0,1603803327
Elinize sağlık.,8.0,8.0,8.0,1603803327
Berbat gwtirilmisti özensiz di bu sefer hiç hoşuma gitmedi buz gibiydi.,5.0,5.0,6.0,1603803327
Uffff bürek.,8.0,10.0,10.0,1603803327
Guzkeif.,10.0,10.0,10.0,1603803327
Elinize sağlık.,8.0,8.0,8.0,1603803327
Herşey iyise illa fazla sipariş vermek için mesafe parasını böreklerin 1 tl altnda yapmanz hiç hoş değil.,9.0,9.0,10.0,1603803327
Güzeldi.,10.0,10.0,10.0,1603803327
Daha kötü su böreği yemedim..,7.0,5.0,1.0,1603803327
Lezzetsiz.,10.0,10.0,2.0,1603803327
Domates gönderiyorlar diğer tüm börekçiler gönderiyor halbuki.,10.0,6.0,10.0,1603803327
Guzel.,10.0,10.0,10.0,1603803327
Süper tek kelime ile.,10.0,10.0,10.0,1601173581
Keşke kutuya koyarken özenerek yapsaydıniz işinizi üst üste çamur gibi olmuştu hiç yakışmadı size.,8.0,8.0,1.0,1601173581
"Bence herkes kendi işini yapmalı, serpme börek ve diğerlerinde çok iyisiniz ama su böreği sizin işiniz değil bence, beğenmedim. Emeğinize sağlık.",8.0,9.0,4.0,1601173581
Çok geç geldi ve domates koymamışlardı.,1.0,5.0,5.0,1601173581
Herşey çok güzeldi elinize sağlık.,8.0,10.0,10.0,1601173581
Su böreği güzeldi.,10.0,10.0,10.0,1601173581
Su böreği nefisti.,7.0,8.0,10.0,1601173581
Guzeldi..,10.0,10.0,10.0,1601173581
İyi.,9.0,9.0,9.0,1601173581
 uzdu.,1.0,10.0,10.0,1601173581
İyi.,9.0,9.0,9.0,1601173581
"Gramaj düşürülmüş, doyumluk değil tadımlık olmuş.",8.0,8.0,9.0,1601173581
Domates artık konmıyor mu? Ayrıca böreklerin bazıları soğuktu.,10.0,4.0,10.0,1601173581
Elinize sağlık.,9.0,9.0,9.0,1601173581
İyi.,9.0,9.0,9.0,1601173581
"En iyi borek. Yag icinde yuzmuyor, taze ve hizli geliyor tursularinin cok guzel olmasi da ayri bir guzellik.",10.0,10.0,10.0,1601173581
İyi.,8.0,8.0,8.0,1601173581
İyi.,8.0,8.0,8.0,1601173581
İdareveder.,6.0,6.0,2.0,1601173581
Börekte ekşimtrak tat vardı.,7.0,8.0,6.0,1601173582
"Böreği koydukları kutu, poşetin içinde dik dönmüş ve börekler çarpışma testlerindeki arabalar gibi birbirine girmişti. Lezzet olarak iyiydi ama görsel olarak iyi değildi. Bundan sonra kuryeniz buna dikkat ederse, müşteri olarak bizler de daha çok memnun oluruz.",9.0,7.0,8.0,1601173582
İyi.,7.0,8.0,7.0,1601173582
Hastasiyiz ozellikle de ayanlarina.,10.0,10.0,10.0,1601173582
Her zaman ki gibi çok güzel.,10.0,10.0,10.0,1601173582
Sicacik taze.,10.0,10.0,10.0,1601173582
İyi.,7.0,7.0,8.0,1601173582
Çok geç geldi... Bi de kusura bakmayın çok geç geldi diyorlar demek ki geç geldini kendileri de biliyor.,1.0,1.0,1.0,1601173582
Güzel.,7.0,7.0,8.0,1601173582
Soyası az olmuş sanki.,1.0,1.0,2.0,1601173582
Keşke plastik bir kaba koyulsa börekler.,8.0,5.0,8.0,1601173582
Soğanın fazla olması dışında iyiydi.,10.0,10.0,6.0,1598543836
Turşu gelmemişti.,9.0,1.0,10.0,1598543836
Börekler taze değildi.,10.0,8.0,6.0,1598543836
En iyi börekçi sizsiniz.,10.0,10.0,10.0,1598543836
Ustaların ellerine sağlık gerçekten çok leziz. Kuryeler güler yüzlü etrafa mutluluk saçıyor. İsteklerimi asla göz ardı etmiyorlar gerçekten kaliteli.,10.0,10.0,10.0,1598543836
Muhteşem bir lezzet efsane bir hız.,10.0,10.0,10.0,1598543836
"Lezzet filan 10 numara ama önceden 1 kişilik börek 14 tane oluyordu şimdi 10 tane, yarım kişilik önceden 7 tane oluyordu şimdi 4 tane azaltmışsınız.",10.0,6.0,10.0,1598543836
Soğan doluydu içi ama lezzet yine de iyi.,6.0,6.0,5.0,1598543836
Kurye arkadaşımız adresi zorlanmadan bulabilecek kadar tecrübeli olduğu için memnunuz zira tecrübeli kuryeler son zamanlarda kolay bulunabilen insanlar değiller.,7.0,9.0,8.0,1598543836
Lezzetliydi.,8.0,8.0,8.0,1598543836
Gerçekten çok iyi bir börekçi. Siparişleri dikkatle hazırlayıp müşterilerin ricasını dikkate alan sayılı restoranlardan.,10.0,10.0,10.0,1598543836
Super kusursuz.,10.0,10.0,10.0,1598543836
En iyi borekçi.,10.0,10.0,10.0,1598543836
Kiymali istettim maalesef tuzu fazlaydı onun dışında temiz ve güzeldi.,9.0,9.0,7.0,1598543836
Lezzetliydi ama geç geldi. 1 saat sürdü gelmesi.,5.0,7.0,8.0,1598543836
Harika.,10.0,10.0,10.0,1598543836
"Fiyata zam yapmanıza rağmen (kaliteyi korumak için olsa keşke) börekleri kağıda sarıp göndermişsiniz. Hem hamurlaşmış hem de birbirine geçmiş şekilde geldi. Görsel olarak hoş olmadığı gibi lezzeti de iyi değildi. Umarım düzeltirsiniz. Böyle devam ederse, rakiplerinizi tercih ederim doğal olarak.",7.0,5.0,6.0,1598543838
Hız tazelik lezzet daha iyi börekçi bulamazsınız.,10.0,10.0,10.0,1598543838
Dahha güzel sunum yapıla bilir.,1.0,1.0,2.0,1598543838
Peyniri aşırı tuzluydu.,8.0,5.0,3.0,1598543838
Hızli.,9.0,9.0,9.0,1598543838
"Başarılı, beğendim. Zamanlama da belirtildiği gibi geldi.",10.0,10.0,10.0,1598543838
Bir börek sevdalısı olarak konuşuyorum. Su böreği yemek sepetindeki diğer rakiplerinden açık ara önde. Teşekkürler iyi ki varsınız.,10.0,10.0,10.0,1598543838
Domates bile gelmedi ve soğuktu.,3.0,2.0,2.0,1595914092
Biraz daha hızlı olunabilir.,6.0,8.0,8.0,1595914092
Sıcak ve hızlı geldi lezzetliydi kağıta sarıp getirmek yerine kutu gibi birşeyin içerisinde getirseniz daha iyi olur.,10.0,9.0,10.0,1595914092
Domates de gönderseler yanında eskisi gibi herşeyiyle on numara.,10.0,7.0,10.0,1595914092
Basarili.,10.0,10.0,10.0,1595914092
Kurye çok iyiydi.,10.0,10.0,10.0,1595914092
"Hep siparis veriyoruz, cok memnunuzz.",10.0,10.0,10.0,1595914092
Börekleri diğer börekçilere göre daha lezzetli. Bu puan az.,10.0,10.0,10.0,1595914092
İyi.,8.0,8.0,8.0,1595914092
"Su böreği misss gibi, peyniri tavana kadar sünüyor. Mükemmel!",10.0,10.0,10.0,1595914092
Bu mekandan peynirli serpme börek siparişi verecekseniz iki kez düşünün derim. Zira böreğin içindeki peynir gerçekten çok kötü.,10.0,5.0,1.0,1595914092
Kaşarı bu kadar kısıtlı kullanmasanız kaşarlı su böregi olabilirdi.,10.0,10.0,5.0,1595914092
Lezzet çok iyi servis çok hız süper tavsiye ediyorum beğenerek yiyorum ben.,9.0,9.0,9.0,1595914092
Lezzetliydi.,8.0,8.0,8.0,1595914092
Su böreği gerçekten çok lezzetliydi.,8.0,6.0,9.0,1595914092
İyi.,9.0,9.0,9.0,1593284346
Bu sefer hiç beğenmedim.,5.0,4.0,1.0,1593284346
Su böreği harika ellerinize sağlık.,10.0,10.0,10.0,1593284346
Rakip markalarına göre hızı ve servisi gerçekten çok kötü ama lezzeti iyi idi.,6.0,1.0,7.0,1593284346
Börek cok lezzetliydi.,10.0,10.0,10.0,1593284346
Rezildi buz gibi tadsız tudsuz du bi daha sipariş vermem.,1.0,1.0,1.0,1593284346
Geç geldi turşu ve domates yollanmadı börek bayattı ısıtılarak yollanmıştı.,1.0,1.0,1.0,1593284346
Siparis onaylandi diyor arkasından kapı çalıyor tek eksik siparişin yanında domates gelmiyor nedennnnn.,10.0,10.0,10.0,1593284346
Guzel hizmet tesekkur ederim.,10.0,10.0,10.0,1593284346
Herzamanki gibi.,10.0,10.0,10.0,1593284346
Börekler sıcacık geldi ve hızlı teslimat.,10.0,10.0,10.0,1593284346
Cok iyi.,10.0,10.0,10.0,1593284346
Yarım porsiyon eksik gönderdi böreği.,1.0,1.0,1.0,1593284346
Cok gec geliyoo.,3.0,8.0,8.0,1593284346
Temassız teslimat yapiyorsun birakit paketi niye 3 kere 4 kere zile basiyorsun arkadasim.,10.0,4.0,8.0,1593284346
Harika.,10.0,10.0,10.0,1593284346
"Yoğunluktan dolayı çok geç geldiğini ilettiler olabilir fakat getirilen peynirli börek resmen bayattı! Peynirleri donmuş ve eskiydi, bizim börekçilik gibi bilinen ve lezzetli bir işletme için çok kötü bir izlenim oldu bizim için, uzun bir süre de sipariş vermeyiz.",1.0,1.0,1.0,1593284346
Çok ama çok geç geldi 1 saatten fazla süre bekletti.,1.0,1.0,6.0,1593284346
Su böreği söyledim güzel sıcak ve doyurucuydu teşekkürler.,8.0,9.0,9.0,1593284346
Gayet lezzetli hızlı.,10.0,10.0,10.0,1593284346
Çıtır böörek istedim yollamışlar sağolsunlar ellerine sağlık :).,9.0,10.0,10.0,1593284346
Bizim börek 10 numara.,10.0,10.0,10.0,1593284346
Karışık bir porsiyon söyledik yalnız kıymalı sadece 2 tane vardı buna dikkat edilirse sevinirim.,8.0,8.0,8.0,1593284346
Her zaman ki gibi mükemmel ve hızlı.,10.0,10.0,10.0,1593284346
İşe geç kaldım böreği bekleyeceğim diye 50 dakikada anca geldi ve tadı normalinden daha kötüydü hiç beğenmedim.,1.0,1.0,1.0,1593284346
Baya yağlıydı su böreği ama elinize sağlık.,7.0,10.0,8.0,1593284346
"Hızlı geldi, servis olarak geliştirilebilir, fakat 1, 5 kıyma söyledim böreğin içindeki kıymaları toplasan 2 avuç anca eder biraz bol yapmanızı öneririm fiyatına göre içinde kıyma yok nerdeyse yaglı yufka yedim sanki..",9.0,7.0,5.0,1593284346
Şu domates göndermeme inadını bırakın ya. Yorumlardaki uyarıları ciddiye alın. Adana nın en eski börekçisine bu tavır uymuyor vahit ustam.,10.0,7.0,10.0,1590654600
"Hızı, sıcaklığı, servisi, lezzeti gayet güzel.",10.0,9.0,9.0,1590654600
Kıymalı börek güzeldi fakat peynirli ısıtılıp gönderilmişti yani baya bı bayatti.,8.0,7.0,6.0,1590654600
